query,expected_source_type,category,rationale
"The manual says the Model 1606 Electrosurgical Unit is contraindicated near MRI environments; what general risks do MRI environments create for implanted devices?",Retrieve_Device,device_plus_general_medical,"Mentions general risks, but the answer depends on a device manual contraindication."
"For a child with fever and rash after vaccination, should I use the Q&A knowledge base or search current outbreak updates?",Web_Search,explicit_source_meta_question,"Asks about source selection and current outbreak updates rather than a stable disease answer."
"What are the symptoms of Kawasaki disease and are there any new FDA-approved devices used to monitor it this year?",Web_Search,mixed_qna_recent_device,"Contains stable symptoms plus recent device approval; current information should route to web."
"Does the Pro127 Electrosurgical Unit support pediatric use, and what symptoms would indicate a complication?",Retrieve_Device,mixed_device_qna,"Primary entity is a specific device model and patient population/support question."
"What changed recently in contraindications for dialysis machines from major manufacturers?",Web_Search,recent_device_external,"Device topic, but asks recent external/manufacturer changes."
"Compare the contraindications of the Max787 Dialysis Machine with standard contraindications for dialysis patients.",Retrieve_Device,device_comparison_general,"Anchored on a specific device model; local device manual should be the first source."
"What is Fraser syndrome and can any surgical robot in our manuals be used for related procedures?",Retrieve_Device,mixed_qna_device,"Contains a disease definition, but asks whether manuals contain a suitable device."
"Which device should be used for emergency pulmonary stabilization in pediatric patients?",Retrieve_Device,device_selection,"Asks for device selection from manual attributes rather than general medical advice."
"What are the latest recommendations for treating Pompe disease?",Web_Search,recent_qna,"Treatment topic usually Q&A, but latest recommendations require current external information."
"If the retrieved Q&A answer about dystonia is irrelevant, should the graph fall back to Tavily?",Web_Search,pipeline_behavior,"Asks about graph/web fallback behavior, not medical content."
"What is the sterilization method for devices indicated for oncology treatment centers?",Retrieve_Device,device_metadata_filter,"Requires filtering manual metadata and retrieving device attributes."
"Are there recent safety alerts for the manufacturer Abbott's electrosurgical units?",Web_Search,recent_brand_device,"Brand/device topic, but recent safety alerts are external."
"What are common symptoms after using a nebulizer incorrectly?",Retrieve_QnA,general_medical_with_device_word,"Mentions a device, but asks general symptoms/medical effects, not a manual attribute."
"Can a blood pressure monitor be used for autoimmune disorder patients according to the manual?",Retrieve_Device,device_contraindication,"Specific manual-style contraindication question."
"Who is at risk for LCM, and has there been a recent outbreak near Athens?",Web_Search,mixed_qna_recent_local,"Stable susceptibility plus recent local outbreak; current external info needed."
