query,expected_source_type,expected_collection,expected_doc_ids,expected_answer,category
How many people are affected by X-linked chondrodysplasia punctata 1 ?,Retrieve_QnA,medical_qna,0,The prevalence of X-linked chondrodysplasia punctata 1 is unknown. Several dozen affected males have been reported in the scientific literature.,frequency
What are the treatments for Kawasaki disease ?,Retrieve_QnA,medical_qna,1,"These resources address the diagnosis or management of Kawasaki disease:  - Cincinnati Children's Hospital Medical Center  - Genetic Testing Registry: Acute febrile mucocutaneous lymph node syndrome  - National Heart, Lung, and Blood Institute: How is Kawasaki Disease Treated?   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",treatment
What are the genetic changes related to Ellis-van Creveld syndrome ?,Retrieve_QnA,medical_qna,2,"Ellis-van Creveld syndrome can be caused by mutations in the EVC or EVC2 gene. Little is known about the function of these genes, although they appear to play important roles in cell-to-cell signaling during development. In particular, the proteins produced from the EVC and EVC2 genes are thought to help regulate the Sonic Hedgehog signaling pathway. This pathway plays roles in cell growth, cell specialization, and the normal shaping (patterning) of many parts of the body.  The mutations that cause Ellis-van Creveld syndrome result in the production of an abnormally small, nonfunctional version of the EVC or EVC2 protein. It is unclear how the defective proteins lead to the specific signs and symptoms of this condition. Studies suggest that they prevent normal Sonic Hedgehog signaling in the developing embryo, disrupting the formation and growth of the bones, teeth, and other parts of the body.  Together, mutations in the EVC and EVC2 genes account for more than half of all cases of Ellis-van Creveld syndrome. The cause of the remaining cases is unknown.",genetic changes
What are the symptoms of Renal dysplasia-limb defects syndrome ?,Retrieve_QnA,medical_qna,3,"What are the signs and symptoms of Renal dysplasia-limb defects syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Renal dysplasia-limb defects syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Abnormality of the fibula 90% Abnormality of the palate 90% Abnormality of the ulna 90% Aplasia/Hypoplasia of the lungs 90% Aplasia/Hypoplasia of the radius 90% Convex nasal ridge 90% Intrauterine growth retardation 90% Micromelia 90% Multicystic kidney dysplasia 90% Narrow mouth 90% Oligohydramnios 90% Respiratory insufficiency 90% Short stature 90% Talipes 90% Abnormality of the ribs 50% Aplasia/Hypoplasia of the cerebellum 50% Cleft upper lip 50% Humeroradial synostosis 50% Renal hypoplasia/aplasia 50% Short neck 50% Abnormality of the pinna - Absent ulna - Autosomal recessive inheritance - Clitoral hypertrophy - Cryptorchidism - Depressed nasal bridge - Fibular aplasia - High palate - Hypoplasia of the radius - Low-set ears - Maternal diabetes - Neonatal death - Phocomelia - Pneumothorax - Prominent occiput - Pulmonary hypoplasia - Renal dysplasia - Renal hypoplasia - Respiratory distress - Respiratory failure - Short metacarpal - Short ribs - Short sternum - Single umbilical artery - Talipes equinovarus - Thin ribs - Thin vermilion border - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Fraser syndrome ?,Retrieve_QnA,medical_qna,4,"Fraser syndrome is a rare disorder that affects development starting before birth. Characteristic features of this condition include eyes that are completely covered by skin and usually malformed (cryptophthalmos), fusion of the skin between the fingers and toes (cutaneous syndactyly), and abnormalities of the genitalia and the urinary tract (genitourinary anomalies). Other tissues and organs can also be affected. Depending on the severity of the signs and symptoms, Fraser syndrome can be fatal before or shortly after birth; less severely affected individuals can live into childhood or adulthood.  Cryptophthalmos is the most common abnormality in people with Fraser syndrome. Both eyes are usually completely covered by skin, but in some cases, only one eye is covered or one or both eyes are partially covered. In cryptophthalmos, the eyes can also be malformed; for example, the eyeballs may be fused to the skin covering them, or they may be small (microphthalmia) or missing (anophthalmia). Eye abnormalities typically lead to impairment or loss of vision in people with Fraser syndrome. Affected individuals can have other problems related to abnormal eye development, including missing eyebrows or eyelashes or a patch of hair extending from the side hairline to the eyebrow.  Cutaneous syndactyly typically occurs in both the hands and the feet in Fraser syndrome. In most people with this feature, the skin between the middle three fingers and toes are fused, but the other digits can also be involved. Other abnormalities of the hands and feet can occur in people with Fraser syndrome.  Individuals with Fraser syndrome can have abnormalities of the genitalia, such as an enlarged clitoris in females or undescended testes (cryptorchidism) in males. Some affected individuals have external genitalia that do not appear clearly female or male (ambiguous genitalia).  The most common urinary tract abnormality in Fraser syndrome is the absence of one or both kidneys (renal agenesis). Affected individuals can have other kidney problems or abnormalities of the bladder and other parts of the urinary tract.  A variety of other signs and symptoms can be involved in Fraser syndrome, including heart malformations or abnormalities of the voicebox (larynx) or other parts of the respiratory tract. Some affected individuals have facial abnormalities, including ear or nose abnormalities or an opening in the upper lip (cleft lip) with or without an opening in the roof of the mouth (cleft palate).",information
How many people are affected by Pompe disease ?,Retrieve_QnA,medical_qna,5,"Pompe disease affects about 1 in 40,000 people in the United States. The incidence of this disorder varies among different ethnic groups.",frequency
What is (are) Limb-girdle muscular dystrophy ?,Retrieve_QnA,medical_qna,6,"Limb-girdle muscular dystrophy is a group of disorders which affect the voluntary muscles around the hips and shoulders. The conditions are progressive, leading to a loss of muscle strength and bulk over a number of years. Onset may occur in childhood, adolescence, young adulthood, or even later. Males and females are affected in equal numbers. Most forms of limb girdle muscular dystrophy are inherited in an autosomal recessive manner. Several rare forms are inherited in an autosomal dominant pattern. While there are no treatments which directly reverse the muscle weakness associated with this condition, supportive treatment can decrease the complications. There are at least 20 different types of limb-girdle muscular dystrophy.",information
What are the treatments for Acquired Cystic Kidney Disease ?,Retrieve_QnA,medical_qna,7,"If acquired cystic kidney disease is not causing complications, a person does not need treatment. A health care provider will treat infections with antibioticsmedications that kill bacteria. If large cysts are causing pain, a health care provider may drain the cyst using a long needle inserted into the cyst through the skin.
                
When a surgeon transplants a new kidney into a patient's body to treat kidney failure, acquired cystic kidney disease in the damaged kidneys, which usually remain in place after a transplant, often disappears.
                
A surgeon may perform an operation to remove tumors or suspected tumors. In rare cases, a surgeon performs an operation to stop cysts from bleeding.
                
Have Regular Screenings to Look for Cyst or Tumor Growth   Some health care providers recommend all people with end-stage kidney disease get screened for kidney cancer using CT scans or MRIs after 3 years of dialysis. People with acquired cystic kidney disease should talk with their health care provider about when to begin screening.",treatment
What is (are) early-onset primary dystonia ?,Retrieve_QnA,medical_qna,8,"Early-onset primary dystonia is a condition characterized by progressive problems with movement, typically beginning in childhood. Dystonia is a movement disorder that involves involuntary tensing of the muscles (muscle contractions), twisting of specific body parts such as an arm or a leg, rhythmic shaking (tremors), and other uncontrolled movements. A primary dystonia is one that occurs without other neurological symptoms, such as seizures or a loss of intellectual function (dementia). Early-onset primary dystonia does not affect a person's intelligence.  On average, the signs and symptoms of early-onset primary dystonia appear around age 12. Abnormal muscle spasms in an arm or a leg are usually the first sign. These unusual movements initially occur while a person is doing a specific action, such as writing or walking. In some affected people, dystonia later spreads to other parts of the body and may occur at rest. The abnormal movements persist throughout life, but they do not usually cause pain.  The signs and symptoms of early-onset primary dystonia vary from person to person, even among affected members of the same family. The mildest cases affect only a single part of the body, causing isolated problems such as a writer's cramp in the hand. Severe cases involve abnormal movements affecting many regions of the body.",information
"What are the symptoms of Dystonia 7, torsion ?",Retrieve_QnA,medical_qna,9,"What are the signs and symptoms of Dystonia 7, torsion? The Human Phenotype Ontology provides the following list of signs and symptoms for Dystonia 7, torsion. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Blepharospasm - Clumsiness - Dysphonia - Hand tremor - Oromandibular dystonia - Skeletal muscle hypertrophy - Torsion dystonia - Torticollis - Writer's cramp - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
